method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
gppo_event_single_head,3x20,2,100,23.21933718947345,0.9375784867306607,0.8036949934123847,0.06,4.08,0.923888888888889,0.59,24.13,28.53,0.29,0.11,0.3793103448275862,-10.532893512640264
gppo_event_single_head,3x20,3,100,23.036293952443668,0.9347386598908338,0.8056043666478448,0.06,4.04,0.9261111111111111,0.56,24.01,28.59,0.3,0.13,0.43333333333333335,-10.349850275610482
gppo_event_single_head,3x20,4,100,23.350933536120642,0.937718897044984,0.7989130434782608,0.08,4.18,0.9183333333333334,0.5,24.04,28.78,0.27,0.11,0.4074074074074074,-10.664489859287462
gppo_event_single_head,3x20,5,100,23.13866489157481,0.940519292301901,0.814908243929983,0.1,3.85,0.9372222222222223,0.45,24.13,28.28,0.28,0.09,0.32142857142857145,-10.452221214741629
gppo_event_single_head,4x24,1,100,21.073814082737314,0.9729166666666668,0.8304166666666666,0.04,4.07,1.245625,0.32,27.75,45.88,0.21,0.12,0.5714285714285714,-8.259451434053664
gppo_event_single_head,4x24,2,100,21.36874141967123,0.9704166666666666,0.8175,0.03,4.38,1.22625,0.31,27.65,46.52,0.21,0.12,0.5714285714285714,-8.55437877098759
gppo_event_single_head,4x24,3,100,21.119460894048107,0.9704166666666666,0.8279166666666667,0.04,4.13,1.241875,0.31,27.7,46.18,0.21,0.13,0.6190476190476191,-8.305098245364466
gppo_event_single_head,4x24,4,100,21.310778775841445,0.9708333333333333,0.8299999999999998,0.04,4.08,1.245,0.41,27.75,46.04,0.21,0.13,0.6190476190476191,-8.496416127157804
gppo_event_single_head,4x24,5,100,21.346437217880776,0.9720833333333334,0.8304166666666667,0.04,4.07,1.245625,0.31,27.84,46.46,0.22,0.12,0.5454545454545454,-8.53207456919713
gppo_none,2x12,1,100,87.37011500369759,0.7206443173942165,0.693558608058608,0.03,3.88,0.62,85.46,0.0,11.64,0.25,0.0,0.0,-76.30946622224859
gppo_none,2x12,2,100,83.87597122447394,0.738522743478609,0.752521978021978,0.11,3.14,0.6728571428571428,81.59,0.0,11.27,0.22,0.0,0.0,-72.81532244302493
gppo_none,2x12,3,100,87.09548393736779,0.7416364616878315,0.7441703296703297,0.08,3.24,0.6657142857142858,84.96,0.0,11.61,0.24,0.0,0.0,-76.0348351559188
gppo_none,2x12,4,100,83.80150762641163,0.742130365474776,0.7549212454212454,0.12,3.1,0.6757142857142857,81.43,0.0,11.47,0.22,0.0,0.0,-72.74085884496266
gppo_none,2x12,5,100,86.87145606333627,0.727343955619245,0.7462765567765567,0.1,3.21,0.6678571428571428,84.9,0.0,11.39,0.21,0.0,0.0,-75.81080728188728
gppo_none,3x16,1,100,89.29429955516981,0.7677648170113339,0.684673202614379,0.0,5.22,0.8707692307692306,89.06,0.0,34.24,0.23,0.0,0.0,-76.89326695015339
gppo_none,3x16,2,100,94.30808408171593,0.7507624350829022,0.6923488562091503,0.01,5.09,0.8807692307692306,94.82,0.0,34.5,0.22,0.0,0.0,-81.90705147669951
